Puntos turísticos;Establecimientos y personal empleado (plazas);Periodo;Total
22130 Jaca;Grado de ocupación por plazas;2020M12;.
22130 Jaca;Grado de ocupación por plazas;2020M11;.
22130 Jaca;Grado de ocupación por plazas;2020M10;20,92
22130 Jaca;Grado de ocupación por plazas;2020M09;23,20
22130 Jaca;Grado de ocupación por plazas;2020M08;48,80
22130 Jaca;Grado de ocupación por plazas;2020M07;35,97
22130 Jaca;Grado de ocupación por plazas;2020M06;.
22130 Jaca;Grado de ocupación por plazas;2020M05;.
22130 Jaca;Grado de ocupación por plazas;2020M04;0,00
22130 Jaca;Grado de ocupación por plazas;2020M03;48,47
22130 Jaca;Grado de ocupación por plazas;2020M02;67,06
22130 Jaca;Grado de ocupación por plazas;2020M01;54,46
22130 Jaca;Grado de ocupación por plazas;2019M12;51,94
22130 Jaca;Grado de ocupación por plazas;2019M11;43,73
22130 Jaca;Grado de ocupación por plazas;2019M10;48,83
22130 Jaca;Grado de ocupación por plazas;2019M09;54,96
22130 Jaca;Grado de ocupación por plazas;2019M08;70,90
22130 Jaca;Grado de ocupación por plazas;2019M07;56,75
22130 Jaca;Grado de ocupación por plazas;2019M06;58,02
22130 Jaca;Grado de ocupación por plazas;2019M05;48,19
22130 Jaca;Grado de ocupación por plazas;2019M04;52,42
22130 Jaca;Grado de ocupación por plazas;2019M03;60,26
22130 Jaca;Grado de ocupación por plazas;2019M02;64,27
22130 Jaca;Grado de ocupación por plazas;2019M01;46,07
22130 Jaca;Grado de ocupación por plazas;2018M12;40,03
22130 Jaca;Grado de ocupación por plazas;2018M11;.
22130 Jaca;Grado de ocupación por plazas;2018M10;.
22130 Jaca;Grado de ocupación por plazas;2018M09;67,69
22130 Jaca;Grado de ocupación por plazas;2018M08;73,54
22130 Jaca;Grado de ocupación por plazas;2018M07;60,27
22130 Jaca;Grado de ocupación por plazas;2018M06;49,79
22130 Jaca;Grado de ocupación por plazas;2018M05;46,06
22130 Jaca;Grado de ocupación por plazas;2018M04;46,41
22130 Jaca;Grado de ocupación por plazas;2018M03;56,59
22130 Jaca;Grado de ocupación por plazas;2018M02;61,04
22130 Jaca;Grado de ocupación por plazas;2018M01;59,25
22204 Sallent de Gállego;Grado de ocupación por plazas;2026M02;79,77
22204 Sallent de Gállego;Grado de ocupación por plazas;2026M01;66,37
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M12;46,96
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M11;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M10;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M09;26,64
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M08;63,07
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M07;47,17
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M06;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M05;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M04;19,08
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M03;52,63
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M02;72,01
22204 Sallent de Gállego;Grado de ocupación por plazas;2025M01;54,42
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M12;33,99
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M11;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M10;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M09;29,07
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M08;69,28
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M07;48,61
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M06;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M05;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M04;23,42
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M03;63,95
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M02;49,32
22204 Sallent de Gállego;Grado de ocupación por plazas;2024M01;45,87
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M12;28,45
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M11;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M10;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M09;26,93
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M08;63,36
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M07;46,46
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M06;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M05;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M04;35,03
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M03;45,34
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M02;74,70
22204 Sallent de Gállego;Grado de ocupación por plazas;2023M01;58,41
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M12;36,08
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M11;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M10;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M09;31,49
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M08;61,18
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M07;46,73
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M06;23,72
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M05;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M04;33,05
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M03;44,61
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M02;74,18
22204 Sallent de Gállego;Grado de ocupación por plazas;2022M01;65,36
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M12;46,30
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M11;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M10;24,04
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M09;28,14
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M08;76,74
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M07;50,17
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M06;14,85
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M05;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M04;17,40
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M03;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M02;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2021M01;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M12;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M11;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M10;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M09;21,73
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M08;61,38
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M07;33,10
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M06;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M05;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M04;0,00
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M03;37,53
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M02;69,38
22204 Sallent de Gállego;Grado de ocupación por plazas;2020M01;58,94
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M12;48,57
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M11;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M10;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M09;16,91
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M08;67,29
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M07;44,31
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M06;21,93
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M05;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M04;20,36
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M03;54,00
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M02;63,66
22204 Sallent de Gállego;Grado de ocupación por plazas;2019M01;20,15
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M12;26,48
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M11;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M10;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M09;24,30
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M08;60,62
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M07;39,89
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M06;27,14
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M05;.
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M04;52,87
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M03;57,69
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M02;72,99
22204 Sallent de Gállego;Grado de ocupación por plazas;2018M01;57,28
25025 Naut Aran;Grado de ocupación por plazas;2026M02;66,70
25025 Naut Aran;Grado de ocupación por plazas;2026M01;58,32
25025 Naut Aran;Grado de ocupación por plazas;2025M12;49,70
25025 Naut Aran;Grado de ocupación por plazas;2025M11;.
25025 Naut Aran;Grado de ocupación por plazas;2025M10;.
25025 Naut Aran;Grado de ocupación por plazas;2025M09;21,45
25025 Naut Aran;Grado de ocupación por plazas;2025M08;57,57
25025 Naut Aran;Grado de ocupación por plazas;2025M07;39,76
25025 Naut Aran;Grado de ocupación por plazas;2025M06;.
25025 Naut Aran;Grado de ocupación por plazas;2025M05;.
25025 Naut Aran;Grado de ocupación por plazas;2025M04;21,80
25025 Naut Aran;Grado de ocupación por plazas;2025M03;52,03
25025 Naut Aran;Grado de ocupación por plazas;2025M02;68,85
25025 Naut Aran;Grado de ocupación por plazas;2025M01;59,88
25025 Naut Aran;Grado de ocupación por plazas;2024M12;45,60
25025 Naut Aran;Grado de ocupación por plazas;2024M11;.
25025 Naut Aran;Grado de ocupación por plazas;2024M10;.
25025 Naut Aran;Grado de ocupación por plazas;2024M09;31,55
25025 Naut Aran;Grado de ocupación por plazas;2024M08;57,59
25025 Naut Aran;Grado de ocupación por plazas;2024M07;39,35
25025 Naut Aran;Grado de ocupación por plazas;2024M06;.
25025 Naut Aran;Grado de ocupación por plazas;2024M05;.
25025 Naut Aran;Grado de ocupación por plazas;2024M04;30,46
25025 Naut Aran;Grado de ocupación por plazas;2024M03;55,64
25025 Naut Aran;Grado de ocupación por plazas;2024M02;69,72
25025 Naut Aran;Grado de ocupación por plazas;2024M01;63,70
25025 Naut Aran;Grado de ocupación por plazas;2023M12;45,21
25025 Naut Aran;Grado de ocupación por plazas;2023M11;.
25025 Naut Aran;Grado de ocupación por plazas;2023M10;.
25025 Naut Aran;Grado de ocupación por plazas;2023M09;36,00
25025 Naut Aran;Grado de ocupación por plazas;2023M08;60,26
25025 Naut Aran;Grado de ocupación por plazas;2023M07;40,12
25025 Naut Aran;Grado de ocupación por plazas;2023M06;26,51
25025 Naut Aran;Grado de ocupación por plazas;2023M05;.
25025 Naut Aran;Grado de ocupación por plazas;2023M04;23,05
25025 Naut Aran;Grado de ocupación por plazas;2023M03;44,37
25025 Naut Aran;Grado de ocupación por plazas;2023M02;72,70
25025 Naut Aran;Grado de ocupación por plazas;2023M01;52,79
25025 Naut Aran;Grado de ocupación por plazas;2022M12;51,04
25025 Naut Aran;Grado de ocupación por plazas;2022M11;.
25025 Naut Aran;Grado de ocupación por plazas;2022M10;.
25025 Naut Aran;Grado de ocupación por plazas;2022M09;32,83
25025 Naut Aran;Grado de ocupación por plazas;2022M08;61,78
25025 Naut Aran;Grado de ocupación por plazas;2022M07;39,76
25025 Naut Aran;Grado de ocupación por plazas;2022M06;21,01
25025 Naut Aran;Grado de ocupación por plazas;2022M05;.
25025 Naut Aran;Grado de ocupación por plazas;2022M04;34,46
25025 Naut Aran;Grado de ocupación por plazas;2022M03;50,90
25025 Naut Aran;Grado de ocupación por plazas;2022M02;69,04
25025 Naut Aran;Grado de ocupación por plazas;2022M01;60,01
25025 Naut Aran;Grado de ocupación por plazas;2021M12;48,96
25025 Naut Aran;Grado de ocupación por plazas;2021M11;.
25025 Naut Aran;Grado de ocupación por plazas;2021M10;26,05
25025 Naut Aran;Grado de ocupación por plazas;2021M09;23,55
25025 Naut Aran;Grado de ocupación por plazas;2021M08;68,13
25025 Naut Aran;Grado de ocupación por plazas;2021M07;39,33
25025 Naut Aran;Grado de ocupación por plazas;2021M06;20,53
25025 Naut Aran;Grado de ocupación por plazas;2021M05;.
25025 Naut Aran;Grado de ocupación por plazas;2021M04;11,15
25025 Naut Aran;Grado de ocupación por plazas;2021M03;16,75
25025 Naut Aran;Grado de ocupación por plazas;2021M02;11,00
25025 Naut Aran;Grado de ocupación por plazas;2021M01;23,75
25025 Naut Aran;Grado de ocupación por plazas;2020M12;22,14
25025 Naut Aran;Grado de ocupación por plazas;2020M11;.
25025 Naut Aran;Grado de ocupación por plazas;2020M10;.
25025 Naut Aran;Grado de ocupación por plazas;2020M09;33,20
25025 Naut Aran;Grado de ocupación por plazas;2020M08;61,80
25025 Naut Aran;Grado de ocupación por plazas;2020M07;31,23
25025 Naut Aran;Grado de ocupación por plazas;2020M06;.
25025 Naut Aran;Grado de ocupación por plazas;2020M05;.
