estacion,anio,mes,comunidad,orientacion,altitud_base_m,altitud_cima_m,desnivel_m,umbria,dias_abierta,dias_totales,pct_dias_abierta,km_abiertos_med,pct_remontes_med,pct_pistas_med,pct_km_med,espesor_max_med,espesor_min_med,dias_nieve_polvo,dias_nieve_dura,dias_nieve_artificial,dias_nieve_pisada,dias_nieve_primavera,dias_finde,dias_festivo,dias_semana_navidad,dias_semana_santa,dias_temporada_esqui,temp_max_med,temp_min_med,temp_media_med,precipitacion_total,nieve_total_cm,viento_max_med,zona_hotelera,ocupacion_general_pct,ocupacion_finde_pct
Astún,2018,4,Aragón,N,1700,2300,600,1,10,29,0.3448275862068966,38.35,0.6933333333333334,0.78,0.767,233.8095238095238,133.8095238095238,1,6,0,0,20,8,1,0,0,29,9.217241379310344,1.6586206896551725,5.286206896551724,235.8,83.58,12.182758620689656,Jaca,46.41,62.44
Astún,2018,5,Aragón,N,1700,2300,600,1,0,31,0.0,,,,,,,0,0,0,0,0,8,2,0,0,31,12.319354838709677,4.064516129032258,8.303225806451612,124.7,3.71,13.770967741935483,Jaca,46.06,54.46
Astún,2018,6,Aragón,N,1700,2300,600,1,0,30,0.0,,,,,,,0,0,0,0,0,9,0,0,0,0,17.790000000000003,9.586666666666668,13.813333333333333,136.8,0.0,12.55,Jaca,49.79,60.92
Astún,2018,7,Aragón,N,1700,2300,600,1,0,31,0.0,,,,,,,0,0,0,0,0,9,0,0,0,0,20.94193548387097,12.441935483870967,17.032258064516128,101.0,0.0,12.325806451612904,Jaca,60.27,72.31
Astún,2018,8,Aragón,N,1700,2300,600,1,0,31,0.0,,,,,,,0,0,0,0,0,8,1,0,0,0,21.80322580645161,12.258064516129032,17.187096774193545,50.7,0.0,13.067741935483872,Jaca,73.54,76.17
Astún,2018,9,Aragón,N,1700,2300,600,1,0,30,0.0,,,,,,,0,0,0,0,0,10,1,0,0,0,19.56,10.203333333333335,14.913333333333332,56.5,0.0,11.423333333333334,Jaca,67.69,76.89
Astún,2018,10,Aragón,N,1700,2300,600,1,0,31,0.0,,,,,,,0,0,0,0,0,8,1,0,0,31,12.680645161290323,4.770967741935484,8.619354838709677,188.3,8.469999999999999,14.254838709677419,Jaca,,
Astún,2018,11,Aragón,N,1700,2300,600,1,0,30,0.0,,,,,,,0,0,0,0,0,8,1,0,0,30,6.426666666666667,-0.026666666666666602,3.57,140.7,50.26,12.966666666666667,Jaca,,
Astún,2018,12,Aragón,N,1700,2300,600,1,6,31,0.1935483870967742,13.666666666666666,0.4666666666666666,0.28961748633879775,0.2733333333333334,20.0,5.0,0,6,0,0,0,10,4,2,0,31,8.170967741935485,0.5903225806451613,4.364516129032259,56.8,18.060000000000002,12.183870967741935,Jaca,40.03,45.76
Astún,2019,1,Aragón,N,1700,2300,600,1,29,31,0.9354838709677419,18.620689655172413,0.5885057471264368,0.3680045223289994,0.3724137931034483,46.29032258064516,20.967741935483872,25,20,0,0,0,8,2,2,0,31,4.258064516129032,-2.545161290322581,0.41935483870967744,214.1,139.23,18.62258064516129,Jaca,46.07,58.21
Astún,2019,2,Aragón,N,1700,2300,600,1,27,28,0.9642857142857143,39.81481481481482,0.945679012345679,0.8129933211900424,0.7962962962962963,148.57142857142858,98.57142857142857,16,20,0,0,2,8,1,0,0,28,7.178571428571429,-0.7107142857142856,3.582142857142857,57.7,27.580000000000002,13.103571428571428,Jaca,64.27,80.04
Astún,2019,3,Aragón,N,1700,2300,600,1,29,29,1.0,36.6551724137931,0.9103448275862068,0.7586206896551724,0.7331034482758622,133.10344827586206,83.10344827586206,8,25,0,0,16,9,0,0,0,29,7.686206896551725,-1.1482758620689655,3.3275862068965516,34.5,7.91,15.344827586206897,Jaca,60.26,76.92
Astún,2019,4,Aragón,N,1700,2300,600,1,20,29,0.6896551724137931,31.275,0.7266666666666667,0.6327868852459017,0.6255,129.5,79.5,9,10,0,0,11,8,3,0,2,29,8.158620689655173,0.3931034482758621,4.310344827586207,183.9,53.97,13.796551724137931,Jaca,52.42,51.69
Astún,2019,5,Aragón,N,1700,2300,600,1,0,31,0.0,,,,,,,0,0,0,0,0,8,2,0,0,31,12.251612903225807,3.4838709677419355,7.951612903225806,110.89999999999999,12.04,15.67741935483871,Jaca,48.19,66.13
Astún,2019,6,Aragón,N,1700,2300,600,1,0,30,0.0,,,,,,,0,0,0,0,0,10,0,0,0,0,19.046666666666667,10.576666666666666,15.073333333333332,87.2,1.26,13.963333333333333,Jaca,58.02,73.6
Astún,2019,7,Aragón,N,1700,2300,600,1,0,31,0.0,,,,,,,0,0,0,0,0,8,0,0,0,0,22.838709677419356,13.454838709677418,18.43548387096774,39.5,0.0,12.893548387096773,Jaca,56.75,72.17
Astún,2019,8,Aragón,N,1700,2300,600,1,0,31,0.0,,,,,,,0,0,0,0,0,9,1,0,0,0,21.796774193548387,12.94516129032258,17.52258064516129,100.4,0.0,12.245161290322581,Jaca,70.9,68.18
Astún,2019,9,Aragón,N,1700,2300,600,1,0,30,0.0,,,,,,,0,0,0,0,0,9,1,0,0,0,18.11,9.386666666666667,13.776666666666667,43.1,0.0,14.286666666666667,Jaca,54.96,64.32
Astún,2019,10,Aragón,N,1700,2300,600,1,0,31,0.0,,,,,,,0,0,0,0,0,8,1,0,0,31,13.832258064516129,6.441935483870967,10.225806451612904,162.9,0.21,13.819354838709677,Jaca,48.83,68.23
Astún,2019,11,Aragón,N,1700,2300,600,1,6,30,0.2,25.916666666666668,0.5777777777777777,0.4918032786885245,0.5183333333333333,107.5,58.333333333333336,4,1,0,0,0,9,1,0,0,30,3.8833333333333333,-0.9566666666666667,1.54,334.8,105.63,13.85,Jaca,43.73,61.56
Astún,2019,12,Aragón,N,1700,2300,600,1,28,31,0.9032258064516129,31.5,0.8833333333333332,0.614168618266979,0.63,100.3225806451613,46.12903225806452,15,23,0,0,0,9,4,2,0,31,7.0,0.7387096774193548,3.7096774193548385,243.4,58.870000000000005,14.193548387096774,Jaca,51.94,77.36
Astún,2020,1,Aragón,N,1700,2300,600,1,31,31,1.0,32.79032258064516,0.9397849462365592,0.6615547329455315,0.6558064516129032,128.2258064516129,65.16129032258064,19,18,0,0,1,8,2,2,0,31,6.638709677419355,-0.7032258064516129,3.141935483870968,105.4,57.33,12.077419354838709,Jaca,54.46,67.53
Astún,2020,2,Aragón,N,1700,2300,600,1,27,27,1.0,33.074074074074076,0.9234567901234567,0.6690953248330297,0.6614814814814814,144.44444444444446,68.33333333333333,13,24,0,0,11,7,1,0,0,27,9.192592592592591,1.7962962962962963,5.4185185185185185,21.3,3.15,13.848148148148148,Jaca,67.06,76.08
